Crop,Season,Temp_Min,Temp_Max,Rain_Min,Rain_Max,Soil_Type,Rotation_Benefit,Side_Effect,Benefits,Counters,Duration_days,Water_Requirement_Level,Average_Yield_kg_per_ha,pH_Min,pH_Max
Masoor (Red Lentil),Rabi,10,25,200,500,"Loam;Clay Loam","Nitrogen fixing and breaks disease cycles","Susceptible to soil acidity buildup in certain conditions","Fixes nitrogen;Pest control","Nitrogen depletion;Disease buildup;Soil acidity",102,Low,1371,6.0,7.5
Peas,Rabi,10,24,200,500,"Loam;Clay Loam","Improves soil structure and fertility","Can promote root pathogens if cropped continuously","Soil structure;Fertility","Root pathogens",87,Low,1147,6.0,7.5
Sugarcane,Year-round,20,40,1100,2500,"Loam;Clay","Adds organic carbon to soil via trash mulch","Heavy nutrient extraction and soil degradation risk","Adds organic carbon","Soil degradation;Nutrient depletion",189,High,76887,6.0,7.5
Cotton,Kharif,21,30,400,1200,"Loam;Sandy","Can help with pest and disease break in rotation","High pesticide use can harm soil biodiversity","Pest and disease break","Soil biodiversity loss",171,High,1615,6.0,7.5
Sunflower,Rabi,20,30,300,700,"Loam;Sandy","Improves soil organic matter","Can reduce soil moisture leading to drought susceptibility","Adds organic matter","Soil moisture loss",180,Medium,2240,6.0,7.5
Jute,Kharif,20,40,1500,2500,"Alluvial;Loam","Improves soil organic matter","Heavy harvesting can reduce soil microbial diversity","Adds organic matter","Microbial diversity loss",98,High,3069,6.0,7.5
Groundnut,Kharif;Rabi,20,35,500,1200,"Sandy;Loam","Fixes atmospheric nitrogen and adds organic matter","Requires careful nutrient management to avoid depletion","Fixes nitrogen;Adds organic matter","Nutrient depletion",187,High,1209,6.0,7.5
Sesamum (Sesame),Kharif;Rabi,25,35,300,700,"Loam;Sandy","Enhances soil fertility and breaks pest cycles","Sensitive to waterlogging leading to root diseases","Enhances fertility;Pest break","Waterlogging;Root diseases",186,Medium,1673,6.0,7.5
Tea,Year-round,18,30,1500,3000,"Acidic;Loam","Enhances organic matter and soil microbe activity","Continuous cropping may lead to soil acidification","Adds organic matter;Microbe activity","Soil acidification",318,High,2198,4.5,6.0
Coffee,Year-round,16,28,1500,2500,"Well-drained Loam;Clay Loam","Adds organic mulch improving soil fertility","Requires shade trees to prevent soil erosion","Adds organic mulch;Improves fertility","Soil erosion",416,High,2562,6.0,7.5
Rubber,Year-round,20,34,1500,4000,"Loam;Clay Loam","Adds organic carbon and enhances soil microbial activity","Soil acidification if latex tapping residues are not managed","Adds organic carbon;Enhances microbial activity","Soil acidification",396,High,2462,4.5,6.0
Coconut,Year-round,24,32,1000,3000,"Sandy;Loam","Improves soil moisture and nutrient recycling","Heavy nutrient extraction, especially potassium","Improves soil moisture;Nutrient recycling","Nutrient depletion",445,High,2414,6.0,7.5
Banana,Year-round,15,35,1200,2500,"Loam;Alluvial","Increases soil organic carbon through leaf litter","Heavy nutrient feeder if not managed properly","Adds organic carbon","Nutrient depletion",323,High,29164,6.0,7.5
Mango,Summer,24,35,750,2000,"Well-drained Loam;Lateritic","Can be intercropped improving soil coverage","Sensitive to waterlogging causing root damage","Improves soil coverage","Waterlogging",418,High,35383,6.0,7.5
Guava,Year-round,20,30,600,1500,"Loam;Sandy Loam","Good for soil coverage and organic matter input","Prone to soil compaction if irrigated excessively","Soil coverage;Adds organic matter","Soil compaction",361,High,32680,6.0,7.5
Papaya,Year-round,21,33,1000,2000,"Loam;Sandy","Adds organic matter and soil aeration","Heavy feeder, can deplete nutrients fast","Adds organic matter;Improves aeration","Nutrient depletion",379,High,25494,6.0,7.5
Potato,Rabi,15,25,300,800,"Loam;Sandy Loam","Breaks nematode cycles","Heavy feeder, depletes soil nutrients","Breaks nematode cycles","Nutrient depletion",96,Medium,21999,6.0,7.5
Onion,Rabi,12,24,300,800,"Loam;Clay Loam","Improves soil aeration","Susceptible to soil-borne diseases if rotated poorly","Improves aeration","Soil-borne diseases",125,Medium,24325,6.0,7.5
Carrot,Rabi,16,21,300,700,"Loam;Sandy Loam","Improves soil tilth","Can compact soil if over-cultivated","Improves soil tilth","Soil compaction",128,Medium,26885,6.0,7.5
Cauliflower,Rabi,15,20,200,600,"Loam;Clay Loam","Good for pest break in rotation","Sensitive to soil-borne diseases in continuous cropping","Pest break","Soil-borne diseases",102,Medium,3812,6.0,7.5
Turmeric,Kharif,20,35,1500,3000,"Loam;Sandy","Adds organic matter and suppresses soil-borne pathogens","Can deplete potassium if grown continuously","Adds organic matter;Suppresses pathogens","Potassium depletion",94,High,3294,6.0,7.5
Dry Chillies,Kharif,25,30,500,1200,"Sandy Loam;Loam","Suppresses some soil pathogens","Susceptible to nutrient deficiencies in poor soils","Suppresses pathogens","Nutrient deficiencies",112,High,3950,6.0,7.5
Coriander,Rabi,17,27,200,600,"Loam;Clay Loam","Improves soil fertility","Requires good drainage to avoid root rot","Improves fertility","Poor drainage;Root rot",90,Medium,3593,6.0,7.5
Barseem,Rabi,10,22,400,1000,"Loam;Clay Loam","Fixes nitrogen and enriches the soil","Can cause soil acidity if not managed","Fixes nitrogen;Enriches soil","Soil acidity",114,Medium,3942,6.0,7.5
Napier Grass,Year-round,20,35,600,1500,"Loam;Clay Loam","Improves soil organic matter and nitrogen content","Can be invasive if not managed well","Adds organic matter;Adds nitrogen","Invasiveness",111,High,3311,6.0,7.5
Lucerne,Rabi,15,30,500,1200,"Loam;Sandy Loam","Fixes nitrogen and enriches soil","Requires good drainage, sensitive to waterlogging","Fixes nitrogen;Enriches soil","Waterlogging",120,High,2845,6.0,7.5
Mustard,Rabi,10,25,250,500,"Loam;Clay Loam","Good for breaking disease cycles and improving soil structure","Can lead to nutrient depletion if continuously cropped","Pest and disease break;Improves soil structure","Nutrient depletion",185,Low,1538,6.0,7.5
Rajma (Kidney Beans),Kharif,18,30,400,700,"Loam;Sandy Loam","Fixes nitrogen and improves soil fertility","Sensitive to waterlogging, which can affect yield and soil health","Fixes nitrogen;Improves fertility","Waterlogging",111,Medium,3010,6.0,7.5
Sugar Beet,Rabi,10,22,300,600,"Loam;Clay Loam","Improves organic matter content and soil structure","Heavy nutrient user which can lead to depletion if unmanaged","Adds organic matter;Improves soil structure","Nutrient depletion",153,Medium,67373,6.0,7.5
Cabbage,Rabi,15,22,300,700,"Loam;Clay Loam","Improves soil structure and nutrient cycling","Susceptible to rot in poorly drained soils","Improves soil structure;Nutrient cycling","Poor drainage;Rot",110,Medium,22782,6.0,7.5
Turnip,Rabi,10,22,300,700,"Loam;Clay Loam","Helps improve soil aeration","Root crops can cause soil compaction if not managed","Improves soil aeration","Soil compaction",125,Medium,24412,6.0,7.5
Radish,Rabi,10,22,250,600,"Loam;Sandy Loam","Prevents build-up of nematodes and pests","Sensitive to waterlogging and soil diseases","Pest and nematode control","Waterlogging;Soil diseases",123,Medium,26802,6.0,7.5
Spinach,Year-round,15,28,300,700,"Loam;Sandy Loam","Enhances organic content and soil texture","Can exhaust nitrogen quickly if grown continuously","Enhances organic content;Improves soil texture","Nitrogen depletion",107,Medium,20155,6.0,7.5
